date,units_sold,epidemic
2022-06-07,8889,0
2022-06-08,10667,0
2022-06-09,9669,0
2022-06-10,9891,0
2022-06-11,11391,0
2022-06-12,10883,0
2022-06-13,9602,0
2022-06-14,10181,0
2022-06-15,10798,0
2022-06-16,9928,0
2022-06-17,10361,0
2022-06-18,9321,0
2022-06-19,10430,0
2022-06-20,10095,0
2022-06-21,10644,0
2022-06-22,10749,0
2022-06-23,9380,0
2022-06-24,10006,0
2022-06-25,10248,0
2022-06-26,11178,0
2022-06-27,9709,0
2022-06-28,10510,0
2022-06-29,5461,1
2022-06-30,5548,1
2022-07-01,5774,1
2022-07-02,5552,1
2022-07-03,6701,1
2022-07-04,6950,1
2022-07-05,5841,1
2022-07-06,6479,1
2022-07-07,6788,1
2022-07-08,6774,1
2022-07-09,6095,1
2022-07-10,6661,1
2022-07-11,6257,1
2022-07-12,6271,1
2022-07-13,6716,1
2022-07-14,6465,1
2022-07-15,6380,1
2022-07-16,6267,1
2022-07-17,6510,1
2022-07-18,6005,1
2022-07-19,6180,1
2022-07-20,6208,1
2022-07-21,5975,1
2022-07-22,6660,1
2022-07-23,7466,1
2022-07-24,5703,1
2022-07-25,9478,0
2022-07-26,10501,0
2022-07-27,9476,0
2022-07-28,9709,0
2022-07-29,8366,0
2022-07-30,9827,0
2022-07-31,10122,0
2022-08-01,9543,0
2022-08-02,9997,0
2022-08-03,10465,0
2022-08-04,10541,0
2022-08-05,10100,0
2022-08-06,10198,0
2022-08-07,10271,0
2022-08-08,9864,0
2022-08-09,11119,0
2022-08-10,9437,0
2022-08-11,9843,0
2022-08-12,9735,0
2022-08-13,9875,0
2022-08-14,10129,0
2022-08-15,10490,0
2022-08-16,10647,0
2022-08-17,10456,0
2022-08-18,10261,0
2022-08-19,9393,0
2022-08-20,10093,0
2022-08-21,10332,0
2022-08-22,10836,0
2022-08-23,10428,0
2022-08-24,9829,0
2022-08-25,11555,0
2022-08-26,10261,0
2022-08-27,10971,0
2022-08-28,11295,0
2022-08-29,9378,0
2022-08-30,9732,0
2022-08-31,9631,0
2022-09-01,9577,0
2022-09-02,9962,0
2022-09-03,10090,0
2022-09-04,9907,0
2022-09-05,9434,0
2022-09-06,9725,0
2022-09-07,8756,0
2022-09-08,9002,0
2022-09-09,9624,0
2022-09-10,8596,0
2022-09-11,9813,0
2022-09-12,8536,0
2022-09-13,9033,0
2022-09-14,8821,0
2022-09-15,10164,0
2022-09-16,9394,0
2022-09-17,9744,0
2022-09-18,9200,0
2022-09-19,9113,0
2022-09-20,8461,0
2022-09-21,8738,0
2022-09-22,8432,0
2022-09-23,9947,0
2022-09-24,9352,0
2022-09-25,8490,0
2022-09-26,10579,0
2022-09-27,9177,0
2022-09-28,8564,0
2022-09-29,8676,0
2022-09-30,8244,0
2022-10-01,8277,0
2022-10-02,9981,0
2022-10-03,8834,0
2022-10-04,8915,0
2022-10-05,8938,0
2022-10-06,9008,0
2022-10-07,9754,0
2022-10-08,9651,0
2022-10-09,9270,0
2022-10-10,9250,0
2022-10-11,9900,0
2022-10-12,9870,0
2022-10-13,9117,0
2022-10-14,8888,0
2022-10-15,10134,0
2022-10-16,9306,0
2022-10-17,8123,0
2022-10-18,8802,0
2022-10-19,8806,0
2022-10-20,8004,0
2022-10-21,8799,0
2022-10-22,9426,0
2022-10-23,9894,0
2022-10-24,9490,0
2022-10-25,7939,0
2022-10-26,7565,0
2022-10-27,9343,0
2022-10-28,9848,0
2022-10-29,8344,0
2022-10-30,8403,0
2022-10-31,8348,0
2022-11-01,9586,0
2022-11-02,9480,0
2022-11-03,8031,0
2022-11-04,9596,0
2022-11-05,10027,0
2022-11-06,8971,0
2022-11-07,9522,0
2022-11-08,9237,0
2022-11-09,9332,0
2022-11-10,9415,0
2022-11-11,8509,0
2022-11-12,10448,0
2022-11-13,9331,0
2022-11-14,8599,0
2022-11-15,9674,0
2022-11-16,9608,0
2022-11-17,9530,0
2022-11-18,9604,0
2022-11-19,9902,0
2022-11-20,8424,0
2022-11-21,9371,0
2022-11-22,8529,0
2022-11-23,8800,0
2022-11-24,10218,0
2022-11-25,8713,0
2022-11-26,9889,0
2022-11-27,8451,0
2022-11-28,8615,0
2022-11-29,8317,0
2022-11-30,9059,0
2022-12-01,7672,0
2022-12-02,9287,0
2022-12-03,9579,0
2022-12-04,9369,0
2022-12-05,10441,0
2022-12-06,9887,0
2022-12-07,9685,0
2022-12-08,9592,0
2022-12-09,10562,0
2022-12-10,8752,0
2022-12-11,8926,0
2022-12-12,9530,0
2022-12-13,9537,0
2022-12-14,10146,0
2022-12-15,9422,0
2022-12-16,9297,0
2022-12-17,9901,0
2022-12-18,10614,0
2022-12-19,9813,0
2022-12-20,8862,0
2022-12-21,10048,0
2022-12-22,9479,0
2022-12-23,8932,0
2022-12-24,10158,0
2022-12-25,9703,0
2022-12-26,9956,0
2022-12-27,9304,0
2022-12-28,11416,0
2022-12-29,8737,0
2022-12-30,9192,0
2022-12-31,8973,0
2023-01-01,9668,0
2023-01-02,10665,0
2023-01-03,10070,0
2023-01-04,9331,0
2023-01-05,8963,0
2023-01-06,9324,0
2023-01-07,9540,0
2023-01-08,9892,0
2023-01-09,9082,0
2023-01-10,10231,0
2023-01-11,10022,0
2023-01-12,9235,0
2023-01-13,10113,0
2023-01-14,9583,0
2023-01-15,9309,0
2023-01-16,9644,0
2023-01-17,9756,0
2023-01-18,10303,0
2023-01-19,10117,0
2023-01-20,10730,0
2023-01-21,9396,0
2023-01-22,10261,0
2023-01-23,10122,0
2023-01-24,9351,0
2023-01-25,9655,0
2023-01-26,9345,0
2023-01-27,8473,0
2023-01-28,9170,0
2023-01-29,5636,1
2023-01-30,5981,1
2023-01-31,5583,1
2023-02-01,6110,1
2023-02-02,6197,1
2023-02-03,6273,1
2023-02-04,6829,1
2023-02-05,6373,1
2023-02-06,6092,1
2023-02-07,5750,1
2023-02-08,5575,1
2023-02-09,6736,1
2023-02-10,6493,1
2023-02-11,5658,1
2023-02-12,6121,1
2023-02-13,6193,1
2023-02-14,6457,1
2023-02-15,6522,1
2023-02-16,5862,1
2023-02-17,6158,1
2023-02-18,6283,1
2023-02-19,6724,1
2023-02-20,5991,1
2023-02-21,5550,1
2023-02-22,6155,1
2023-02-23,6046,1
2023-02-24,6675,1
2023-02-25,5774,1
2023-02-26,6008,1
2023-02-27,6668,1
2023-02-28,5974,1
2023-03-01,9126,0
2023-03-02,9101,0
2023-03-03,9600,0
2023-03-04,9086,0
2023-03-05,9325,0
2023-03-06,8852,0
2023-03-07,9782,0
2023-03-08,9243,0
2023-03-09,10336,0
2023-03-10,9537,0
2023-03-11,8904,0
2023-03-12,10536,0
2023-03-13,9512,0
2023-03-14,9746,0
2023-03-15,11036,0
2023-03-16,10821,0
2023-03-17,9595,0
2023-03-18,9191,0
2023-03-19,9821,0
2023-03-20,9108,0
2023-03-21,9093,0
2023-03-22,10388,0
2023-03-23,9697,0
2023-03-24,10432,0
2023-03-25,10234,0
2023-03-26,8583,0
2023-03-27,9253,0
2023-03-28,9280,0
2023-03-29,9227,0
2023-03-30,8625,0
2023-03-31,9421,0
2023-04-01,9329,0
2023-04-02,9612,0
2023-04-03,8918,0
2023-04-04,8631,0
2023-04-05,9243,0
2023-04-06,9243,0
2023-04-07,9577,0
2023-04-08,9558,0
2023-04-09,9419,0
2023-04-10,10251,0
2023-04-11,9241,0
2023-04-12,5507,1
2023-04-13,6219,1
2023-04-14,5466,1
2023-04-15,6159,1
2023-04-16,6321,1
2023-04-17,6153,1
2023-04-18,5466,1
2023-04-19,5760,1
2023-04-20,6360,1
2023-04-21,6143,1
2023-04-22,5527,1
2023-04-23,6931,1
2023-04-24,6240,1
2023-04-25,6227,1
2023-04-26,6135,1
2023-04-27,5399,1
2023-04-28,5768,1
2023-04-29,5917,1
2023-04-30,5446,1
2023-05-01,5932,1
2023-05-02,6703,1
2023-05-03,5336,1
2023-05-04,6385,1
2023-05-05,5859,1
2023-05-06,6329,1
2023-05-07,6416,1
2023-05-08,6477,1
2023-05-09,5585,1
2023-05-10,5965,1
2023-05-11,6256,1
2023-05-12,6055,1
2023-05-13,8890,0
2023-05-14,8947,0
2023-05-15,9205,0
2023-05-16,9957,0
2023-05-17,10185,0
2023-05-18,10170,0
2023-05-19,10065,0
2023-05-20,8643,0
2023-05-21,10317,0
2023-05-22,9431,0
2023-05-23,9014,0
2023-05-24,9599,0
2023-05-25,9537,0
2023-05-26,10167,0
2023-05-27,9190,0
2023-05-28,9434,0
2023-05-29,9153,0
2023-05-30,8615,0
2023-05-31,8743,0
2023-06-01,8885,0
2023-06-02,9332,0
2023-06-03,9946,0
2023-06-04,10486,0
2023-06-05,10307,0
2023-06-06,10374,0
2023-06-07,11159,0
2023-06-08,9359,0
2023-06-09,9995,0
2023-06-10,9650,0
2023-06-11,11679,0
2023-06-12,9836,0
2023-06-13,9958,0
2023-06-14,10086,0
2023-06-15,9747,0
2023-06-16,11032,0
2023-06-17,9533,0
2023-06-18,9528,0
2023-06-19,10897,0
2023-06-20,11468,0
2023-06-21,9767,0
2023-06-22,9905,0
2023-06-23,10480,0
2023-06-24,9435,0
2023-06-25,10434,0
2023-06-26,10336,0
2023-06-27,9743,0
2023-06-28,10241,0
2023-06-29,10422,0
2023-06-30,8990,0
2023-07-01,8967,0
2023-07-02,10956,0
2023-07-03,11012,0
2023-07-04,10892,0
2023-07-05,9830,0
2023-07-06,9522,0
2023-07-07,9705,0
2023-07-08,11858,0
2023-07-09,10117,0
2023-07-10,9972,0
2023-07-11,9682,0
2023-07-12,10385,0
2023-07-13,10191,0
2023-07-14,10101,0
2023-07-15,9346,0
2023-07-16,9750,0
2023-07-17,11093,0
2023-07-18,9541,0
2023-07-19,10093,0
2023-07-20,9463,0
2023-07-21,9884,0
2023-07-22,10032,0
2023-07-23,10260,0
2023-07-24,9637,0
2023-07-25,10405,0
2023-07-26,11188,0
2023-07-27,10109,0
2023-07-28,11134,0
2023-07-29,9281,0
2023-07-30,10254,0
2023-07-31,8735,0
2023-08-01,10910,0
2023-08-02,10824,0
2023-08-03,10446,0
2023-08-04,9793,0
2023-08-05,10339,0
2023-08-06,10220,0
2023-08-07,9164,0
2023-08-08,11164,0
2023-08-09,10456,0
2023-08-10,11856,0
2023-08-11,10770,0
2023-08-12,9809,0
2023-08-13,10003,0
2023-08-14,9925,0
2023-08-15,10561,0
2023-08-16,10356,0
2023-08-17,10352,0
2023-08-18,10447,0
2023-08-19,9694,0
2023-08-20,9980,0
2023-08-21,9783,0
2023-08-22,10477,0
2023-08-23,10046,0
2023-08-24,10042,0
2023-08-25,9899,0
2023-08-26,9740,0
2023-08-27,10778,0
2023-08-28,9533,0
2023-08-29,9122,0
2023-08-30,10322,0
2023-08-31,9051,0
2023-09-01,9532,0
2023-09-02,8417,0
2023-09-03,9007,0
2023-09-04,9009,0
2023-09-05,10209,0
2023-09-06,9316,0
2023-09-07,9192,0
2023-09-08,8960,0
2023-09-09,9126,0
2023-09-10,9407,0
2023-09-11,10243,0
2023-09-12,8738,0
2023-09-13,8985,0
2023-09-14,9470,0
2023-09-15,9386,0
2023-09-16,8957,0
2023-09-17,9660,0
2023-09-18,9173,0
2023-09-19,9438,0
2023-09-20,8596,0
2023-09-21,8888,0
2023-09-22,9732,0
2023-09-23,10911,0
2023-09-24,8479,0
2023-09-25,9386,0
2023-09-26,8860,0
2023-09-27,9144,0
2023-09-28,9341,0
2023-09-29,8721,0
2023-09-30,7723,0
2023-10-01,9429,0
2023-10-02,10394,0
2023-10-03,8685,0
2023-10-04,9141,0
2023-10-05,9259,0
2023-10-06,9354,0
2023-10-07,5501,1
2023-10-08,6050,1
2023-10-09,6131,1
2023-10-10,5614,1
2023-10-11,5770,1
2023-10-12,6613,1
2023-10-13,5858,1
2023-10-14,5805,1
2023-10-15,5847,1
2023-10-16,5509,1
2023-10-17,6904,1
2023-10-18,5991,1
2023-10-19,6461,1
2023-10-20,5932,1
2023-10-21,6096,1
2023-10-22,5854,1
2023-10-23,6466,1
2023-10-24,5117,1
2023-10-25,9648,0
2023-10-26,8793,0
2023-10-27,8842,0
2023-10-28,9825,0
2023-10-29,8376,0
2023-10-30,8096,0
2023-10-31,7913,0
2023-11-01,9548,0
2023-11-02,10028,0
2023-11-03,9426,0
2023-11-04,9049,0
2023-11-05,9015,0
2023-11-06,8009,0
2023-11-07,9219,0
2023-11-08,9449,0
2023-11-09,9277,0
2023-11-10,9052,0
2023-11-11,9641,0
2023-11-12,9460,0
2023-11-13,9078,0
2023-11-14,9093,0
2023-11-15,9512,0
2023-11-16,8987,0
2023-11-17,8605,0
2023-11-18,9714,0
2023-11-19,9362,0
2023-11-20,8715,0
2023-11-21,9086,0
2023-11-22,9483,0
2023-11-23,9376,0
2023-11-24,8838,0
2023-11-25,8591,0
2023-11-26,9044,0
2023-11-27,9540,0
2023-11-28,8404,0
2023-11-29,9197,0
2023-11-30,8776,0
2023-12-01,9466,0
2023-12-02,10362,0
2023-12-03,9483,0
2023-12-04,9687,0
2023-12-05,9129,0
2023-12-06,11327,0
2023-12-07,9915,0
2023-12-08,9430,0
2023-12-09,8769,0
2023-12-10,9624,0
2023-12-11,8767,0
2023-12-12,9584,0
2023-12-13,10508,0
2023-12-14,9745,0
2023-12-15,9090,0
2023-12-16,9161,0
2023-12-17,9184,0
2023-12-18,10282,0
2023-12-19,9249,0
2023-12-20,8916,0
2023-12-21,10693,0
2023-12-22,9783,0
2023-12-23,9588,0
2023-12-24,10491,0
2023-12-25,8639,0
2023-12-26,9687,0
2023-12-27,6136,1
2023-12-28,6029,1
2023-12-29,6267,1
2023-12-30,5316,1
2023-12-31,5783,1
2024-01-01,6030,1
2024-01-02,6106,1
2024-01-03,6268,1
2024-01-04,5661,1
2024-01-05,6598,1
2024-01-06,6655,1
2024-01-07,6003,1
2024-01-08,5620,1
2024-01-09,8533,0
2024-01-10,8277,0
2024-01-11,9323,0
2024-01-12,8508,0
2024-01-13,9926,0
2024-01-14,8990,0
2024-01-15,8671,0
2024-01-16,9078,0
2024-01-17,8736,0
2024-01-18,9429,0
2024-01-19,7990,0
2024-01-20,10914,0
2024-01-21,8563,0
2024-01-22,9639,0
2024-01-23,8370,0
2024-01-24,10051,0
2024-01-25,10028,0
2024-01-26,9184,0
2024-01-27,9598,0
2024-01-28,9942,0
2024-01-29,8802,0
2024-01-30,8425,0
