date,P0001,P0002,P0003,P0004,P0005,P0006,P0007,P0008,P0009,P0010,P0011,P0012,P0013,P0014,P0015,P0016,P0017,P0018,P0019,P0020
2022-03-02,821,441,344,361,384,470,577,344,689,324,386,244,383,452,377,502,319,392,308,657
2022-03-03,589,397,579,607,389,410,761,444,368,590,544,510,661,677,579,423,491,497,342,334
2022-03-04,822,384,438,579,330,840,438,523,486,584,548,633,837,394,452,394,378,404,415,444
2022-03-05,739,461,497,674,753,756,791,446,452,368,519,499,538,344,497,477,425,547,443,331
2022-03-06,472,626,424,488,282,500,523,525,505,599,402,476,535,369,507,420,350,359,506,481
2022-03-07,320,705,565,572,320,698,473,500,477,527,529,337,384,463,593,673,415,407,572,386
2022-03-08,501,886,647,587,435,566,457,507,614,446,400,390,583,534,583,425,509,350,526,419
2022-03-09,789,415,582,387,234,704,565,286,366,598,529,450,852,469,478,349,526,559,425,397
2022-03-10,470,571,593,501,402,538,513,378,667,392,291,334,609,527,498,398,550,352,271,480
2022-03-11,349,505,458,688,377,608,890,509,597,375,427,460,348,426,427,344,596,326,350,435
2022-03-12,716,680,651,562,456,777,831,442,517,560,651,449,741,398,734,689,533,337,461,333
2022-03-13,582,522,587,695,278,544,407,499,535,342,385,384,504,401,440,479,585,344,492,550
2022-03-14,344,412,661,453,215,476,496,296,447,611,338,286,600,471,476,527,595,340,329,395
2022-03-15,848,649,613,496,313,538,431,504,477,512,487,552,519,611,594,497,302,505,366,432
2022-03-16,422,402,520,842,479,550,439,496,560,592,604,419,516,447,598,522,529,321,404,337
2022-03-17,563,316,515,440,361,481,639,447,667,480,358,339,389,452,584,435,561,646,320,440
2022-03-18,467,638,345,538,394,642,394,405,326,563,324,530,709,406,584,436,555,315,418,413
2022-03-19,545,380,465,598,376,524,451,409,371,507,457,265,407,608,374,396,456,411,329,447
2022-03-20,477,731,735,452,544,579,740,503,682,471,463,437,303,381,557,645,500,446,399,523
2022-03-21,589,418,825,311,731,379,643,378,424,426,395,294,603,482,524,469,461,592,532,462
2022-03-22,741,388,333,514,340,475,391,434,293,532,380,265,495,568,419,419,415,487,471,310
2022-03-23,492,569,471,594,520,682,701,322,472,579,487,378,406,411,466,406,645,688,307,310
2022-03-24,238,433,397,469,652,675,553,415,560,651,488,344,777,509,337,336,536,523,517,398
2022-03-25,634,730,542,354,525,617,546,323,509,894,515,601,401,317,437,692,625,283,560,524
2022-03-26,514,483,527,607,649,504,403,450,786,772,509,447,651,358,478,364,690,343,518,523
2022-03-27,608,562,455,647,582,704,498,609,466,785,820,545,516,506,518,542,353,566,453,434
2022-03-28,420,484,540,551,459,491,577,355,439,616,479,538,365,393,324,536,588,358,321,454
2022-03-29,572,447,528,542,456,534,417,374,472,533,544,444,633,401,376,373,517,397,406,422
2022-03-30,437,589,491,596,434,480,521,303,345,504,421,452,683,310,398,431,469,309,446,363
2022-03-31,495,460,549,498,473,419,430,465,339,502,398,377,628,475,335,492,434,336,325,386
2022-04-01,511,596,406,712,557,595,583,409,343,696,422,381,493,614,484,605,478,571,507,310
2022-04-02,410,583,453,302,520,668,515,552,543,479,505,537,463,565,393,511,525,554,308,401
2022-04-03,478,636,638,472,576,562,485,303,360,504,289,343,512,542,611,434,433,297,355,549
2022-04-04,621,524,506,507,297,346,662,339,415,386,405,582,560,364,493,390,465,306,420,382
2022-04-05,544,687,449,535,584,729,575,362,497,418,437,442,445,400,417,565,340,378,594,305
2022-04-06,393,432,413,733,369,373,574,483,655,491,608,594,886,495,560,398,351,567,373,527
2022-04-07,392,818,632,339,507,652,708,473,405,517,542,674,466,587,351,403,410,470,297,588
2022-04-08,457,426,519,935,461,407,471,428,366,582,519,449,601,609,432,611,567,465,484,470
2022-04-09,371,441,688,526,460,401,448,302,473,318,484,415,695,449,479,324,490,301,439,389
2022-04-10,446,546,506,524,604,545,564,444,362,396,471,381,509,373,525,444,521,274,434,368
2022-04-11,751,432,479,733,455,538,397,418,395,574,604,538,431,604,580,425,406,597,296,293
2022-04-12,606,481,511,481,487,769,764,334,477,665,581,535,661,483,378,486,612,394,385,438
2022-04-13,411,706,697,570,510,366,470,485,390,626,483,457,493,467,437,698,622,391,344,405
2022-04-14,492,364,547,400,647,448,554,424,513,613,592,323,417,402,418,446,432,297,337,560
2022-04-15,522,541,595,415,462,405,429,557,441,311,580,403,620,407,539,616,472,437,461,419
2022-04-16,440,335,456,449,537,319,549,594,689,624,336,354,502,414,434,421,359,391,229,318
2022-04-17,475,727,456,604,554,530,531,508,592,620,624,382,416,508,460,393,467,408,491,343
2022-04-18,474,494,614,772,625,490,609,406,549,465,620,389,577,388,609,306,466,447,445,338
2022-04-19,633,730,466,490,336,531,459,510,636,447,450,582,416,248,732,518,383,621,653,295
2022-04-20,501,411,650,463,513,600,676,677,494,496,280,344,618,472,494,582,666,447,518,565
2022-04-21,489,410,546,502,351,454,423,355,316,462,358,374,499,575,470,557,566,357,355,469
2022-04-22,366,510,457,320,515,381,511,427,378,532,504,283,535,303,436,445,545,405,406,397
2022-04-23,215,329,274,433,389,324,284,410,451,292,364,222,249,266,274,198,151,237,394,254
2022-04-24,318,281,236,357,299,361,262,557,375,317,267,359,317,251,332,149,278,318,509,255
2022-04-25,321,375,249,425,328,170,343,481,585,351,396,249,388,315,534,220,158,356,338,260
2022-04-26,391,335,304,370,248,271,410,369,430,292,242,218,315,225,210,135,193,182,243,219
2022-04-27,280,317,293,308,373,247,251,516,390,383,208,189,263,184,257,197,340,325,281,180
2022-04-28,263,313,331,331,384,285,228,276,460,319,336,182,383,170,251,226,180,415,284,237
2022-04-29,331,386,268,331,275,267,282,260,319,357,362,175,254,186,249,214,326,265,257,214
2022-04-30,228,315,326,277,240,398,316,198,360,297,200,170,304,218,341,151,188,219,332,232
2022-05-01,492,367,225,327,288,270,467,215,426,355,387,191,257,281,265,299,260,296,433,188
2022-05-02,172,323,274,338,247,219,322,226,366,318,435,305,334,225,306,136,226,281,394,369
2022-05-03,258,342,285,259,355,220,337,339,435,282,252,322,382,244,201,279,274,353,342,180
2022-05-04,268,271,357,332,204,322,353,323,346,403,310,271,328,248,240,214,209,316,274,176
2022-05-05,363,218,315,360,291,413,327,230,388,345,307,286,368,363,278,295,284,301,379,306
2022-05-06,303,341,324,366,461,277,256,192,355,428,409,336,209,332,346,281,242,341,287,307
2022-05-07,382,373,376,277,256,259,326,440,399,320,295,245,255,270,372,319,264,350,291,209
2022-05-08,255,263,282,360,297,371,283,196,463,381,273,198,320,250,231,244,296,387,402,228
2022-05-09,341,389,244,307,285,312,320,355,233,244,385,235,415,224,274,204,137,267,456,206
2022-05-10,264,404,298,351,296,212,352,413,314,284,493,192,261,417,377,284,212,290,268,223
2022-05-11,233,325,368,319,392,288,429,416,367,286,297,269,164,209,250,236,213,276,357,212
2022-05-12,170,269,126,462,219,252,372,309,422,310,335,198,330,258,278,295,161,295,345,243
2022-05-13,350,342,275,372,385,393,291,256,428,248,214,244,274,261,281,242,115,301,288,205
2022-05-14,280,341,392,427,352,220,280,372,473,325,248,200,282,238,282,321,256,319,309,275
2022-05-15,486,339,473,328,308,117,391,343,309,250,423,169,218,171,183,323,252,366,305,244
2022-05-16,324,299,421,485,269,253,232,298,494,284,232,235,262,214,346,315,267,356,340,204
2022-05-17,320,324,322,397,355,315,268,204,396,319,152,263,367,306,509,332,263,355,338,306
2022-05-18,264,172,171,302,259,396,210,250,321,326,311,189,286,215,209,225,212,218,311,395
2022-05-19,337,307,325,246,300,329,379,313,536,275,306,193,274,246,297,284,225,304,303,296
2022-05-20,373,499,341,310,458,236,262,311,411,400,403,276,479,294,388,176,150,309,473,196
2022-05-21,290,435,334,387,274,267,263,297,362,354,222,202,385,256,385,263,268,295,331,168
2022-05-22,374,323,267,380,309,327,295,354,349,326,200,255,316,261,283,198,305,294,275,290
2022-05-23,147,321,188,239,304,274,256,213,476,234,278,262,357,172,348,265,290,232,389,226
2022-05-24,317,284,267,318,263,320,332,325,403,405,306,213,329,276,318,466,212,323,240,178
2022-05-25,304,336,262,423,405,143,333,248,647,416,256,300,359,446,283,247,207,297,302,296
2022-05-26,425,476,464,466,502,339,470,396,485,379,467,408,537,313,686,334,407,469,303,371
2022-05-27,317,520,500,497,667,412,403,564,740,348,464,459,484,485,579,387,546,501,334,364
2022-05-28,620,581,436,529,466,340,478,559,423,549,349,529,380,478,560,555,349,458,469,316
2022-05-29,452,477,492,485,382,323,421,523,487,443,403,356,538,353,306,499,521,381,482,521
2022-05-30,455,482,572,501,516,374,495,396,442,321,431,528,398,417,430,627,475,417,345,574
2022-05-31,504,490,526,462,513,267,556,344,442,426,460,381,517,557,305,464,344,394,500,639
2022-06-01,582,678,481,530,484,280,585,430,513,436,436,377,613,364,547,486,449,426,413,434
2022-06-02,637,750,516,659,448,424,595,492,447,334,446,404,588,494,506,336,306,508,420,729
2022-06-03,476,415,396,539,477,398,796,590,552,340,464,418,511,607,553,407,348,415,521,595
2022-06-04,562,500,288,520,422,495,464,516,392,287,443,349,721,662,456,321,388,393,410,581
2022-06-05,285,496,428,456,590,455,414,521,498,275,391,489,617,549,385,458,389,392,519,538
2022-06-06,446,514,415,566,372,651,698,536,418,337,450,409,812,450,359,584,347,404,401,392
2022-06-07,579,453,419,495,474,400,328,393,427,373,405,499,510,377,671,403,316,370,462,535
2022-06-08,528,684,500,802,639,583,877,400,694,472,409,469,461,525,507,529,378,500,383,327
2022-06-09,438,614,529,569,365,466,611,442,373,571,389,363,645,485,540,368,407,521,531,442
2022-06-10,617,766,554,763,427,569,522,450,483,507,441,514,588,399,570,386,299,405,321,310
2022-06-11,500,845,702,766,1015,689,549,330,571,760,413,369,649,445,553,550,383,504,417,381
2022-06-12,602,641,410,541,455,381,513,463,479,742,608,446,858,453,866,630,558,498,409,330
2022-06-13,489,674,420,542,636,742,394,492,363,425,434,480,409,388,461,338,404,439,519,553
2022-06-14,551,784,472,544,579,650,635,430,550,572,570,400,517,471,506,416,314,503,412,305
2022-06-15,527,394,671,768,675,421,541,400,565,532,586,450,669,388,570,767,445,544,595,290
2022-06-16,393,750,490,486,576,425,421,399,425,575,418,243,767,490,542,642,509,469,436,472
2022-06-17,684,616,397,665,460,612,512,469,735,594,523,602,498,401,464,465,488,326,453,397
2022-06-18,604,594,464,477,562,432,466,347,480,469,484,351,451,711,461,334,515,411,404,304
2022-06-19,674,339,598,589,476,506,700,475,864,557,471,442,795,439,461,475,419,432,418,300
2022-06-20,546,633,746,690,542,344,447,493,370,482,492,485,740,380,548,600,440,403,365,349
2022-06-21,887,434,517,731,564,601,714,713,462,498,574,462,381,484,487,416,441,527,523,228
2022-06-22,533,581,394,663,561,591,495,534,655,626,510,473,638,598,725,700,268,502,324,378
2022-06-23,399,494,552,533,452,480,481,382,489,479,246,533,567,373,478,773,424,460,443,342
2022-06-24,515,587,436,698,478,539,333,395,699,426,588,445,592,508,715,477,354,556,253,412
2022-06-25,472,382,423,714,427,398,430,462,686,661,531,477,841,501,437,492,444,493,495,482
2022-06-26,517,580,738,722,533,568,384,512,690,708,573,697,613,417,647,498,398,553,412,418
2022-06-27,582,371,469,820,561,407,635,389,610,608,576,379,353,434,472,365,508,396,489,285
2022-06-28,779,556,511,518,460,599,464,672,504,481,423,675,563,475,651,471,370,486,405,447
2022-06-29,191,256,198,196,307,369,216,225,428,315,201,237,487,211,358,223,224,316,299,204
2022-06-30,279,237,307,349,280,333,202,263,498,229,280,209,294,396,205,317,190,270,234,176
2022-07-01,292,250,304,441,169,283,251,250,573,263,314,166,319,234,468,281,143,214,337,222
2022-07-02,222,338,225,364,285,230,332,303,464,369,260,315,193,238,229,273,157,241,329,185
2022-07-03,303,228,183,451,498,232,261,293,466,538,264,301,395,363,307,403,218,285,510,202
2022-07-04,247,281,235,536,320,357,472,417,504,334,357,353,391,310,348,318,287,306,359,218
2022-07-05,179,396,271,293,196,323,415,227,405,194,414,193,457,252,253,306,250,299,344,174
2022-07-06,154,200,212,418,329,474,467,268,518,567,266,248,348,302,260,307,239,391,295,216
2022-07-07,227,388,324,448,394,306,430,316,488,407,392,341,281,328,320,279,258,271,331,259
2022-07-08,194,347,360,412,378,284,309,344,528,305,340,308,408,351,407,345,233,387,274,260
2022-07-09,196,348,366,288,316,277,473,369,335,376,246,446,383,250,189,189,240,309,306,193
2022-07-10,187,305,281,436,326,305,254,356,595,326,409,428,455,256,310,271,241,294,286,340
2022-07-11,155,179,303,359,280,279,401,337,381,335,423,425,296,253,254,313,205,457,419,203
2022-07-12,272,447,204,390,454,224,292,258,309,406,399,277,375,223,274,297,227,334,405,204
2022-07-13,197,373,283,421,320,317,557,341,481,315,446,234,325,266,421,289,156,452,253,269
2022-07-14,291,275,278,413,451,312,307,312,362,318,297,181,470,327,352,243,322,379,419,156
2022-07-15,382,329,370,314,340,295,400,299,305,343,321,213,388,371,251,226,175,351,516,191
2022-07-16,425,294,439,386,353,263,381,377,289,326,276,251,362,197,273,223,168,427,374,183
2022-07-17,442,497,210,450,373,318,288,241,326,363,273,204,342,285,220,330,241,381,458,268
2022-07-18,211,279,283,398,371,303,362,290,432,361,306,225,363,288,230,294,212,334,316,147
2022-07-19,257,332,355,329,463,378,366,282,314,502,245,145,275,270,271,382,179,299,371,165
2022-07-20,372,328,468,433,391,208,285,329,302,301,232,239,328,228,327,283,174,433,378,169
2022-07-21,256,240,346,276,185,267,443,456,405,293,366,205,385,228,396,308,213,243,286,178
2022-07-22,311,448,319,389,321,247,399,306,616,311,299,244,334,403,385,286,191,281,322,248
2022-07-23,368,382,481,598,302,369,281,347,826,459,367,281,372,340,308,223,273,298,308,283
2022-07-24,286,295,233,538,192,272,241,367,457,312,267,157,236,262,326,233,166,301,264,298
2022-07-25,461,657,540,487,399,655,642,423,391,507,599,405,536,445,414,395,453,394,356,319
2022-07-26,637,315,530,550,542,570,538,555,744,666,517,495,700,499,510,501,474,417,286,455
2022-07-27,593,610,478,648,653,366,375,552,781,508,238,365,531,434,358,207,416,469,447,447
2022-07-28,440,404,349,594,493,748,725,467,636,561,280,530,566,360,552,496,422,316,448,322
2022-07-29,471,472,360,447,459,375,579,403,459,414,388,337,411,442,339,475,351,448,362,374
2022-07-30,482,701,415,690,498,495,563,417,653,495,401,341,670,479,370,545,376,473,481,282
2022-07-31,432,601,537,535,643,717,607,390,780,557,346,479,538,445,343,458,397,466,497,354
2022-08-01,644,722,443,632,538,439,601,494,397,465,393,377,435,365,508,453,514,394,381,348
2022-08-02,505,431,652,627,793,456,692,480,468,453,504,361,616,552,403,332,468,492,421,291
2022-08-03,635,507,430,546,537,622,546,474,357,438,528,386,791,454,447,535,545,444,611,632
2022-08-04,545,447,592,466,399,740,433,488,530,640,552,417,791,694,585,625,414,423,365,395
2022-08-05,447,462,740,645,574,387,704,405,516,677,511,395,520,619,410,618,434,486,336,214
2022-08-06,389,372,434,657,480,515,530,553,527,672,581,384,715,418,495,710,294,433,635,404
2022-08-07,650,509,465,615,400,698,429,548,590,604,389,495,546,577,611,667,411,368,421,278
2022-08-08,426,488,394,562,429,444,596,495,659,571,385,454,608,449,379,858,550,315,332,470
2022-08-09,485,527,491,949,619,609,725,371,587,821,552,564,520,661,455,569,328,454,486,346
2022-08-10,527,436,415,590,452,377,482,352,782,492,563,529,512,554,350,527,358,354,451,334
2022-08-11,443,464,343,643,468,456,480,416,718,408,438,631,513,517,542,617,410,456,502,378
2022-08-12,717,456,558,569,457,614,587,427,453,399,449,390,719,287,520,506,485,403,383,356
2022-08-13,402,481,496,623,674,455,673,404,787,443,464,412,438,531,306,528,439,541,456,322
2022-08-14,623,442,472,469,492,501,579,546,577,524,562,448,621,621,491,451,340,510,448,412
2022-08-15,473,650,544,517,571,370,568,536,629,852,390,446,467,664,603,583,406,360,377,484
2022-08-16,694,287,473,571,682,482,732,344,564,499,714,467,942,484,563,378,419,376,455,521
2022-08-17,442,598,583,698,505,574,641,493,447,513,416,508,522,403,817,651,591,373,361,320
2022-08-18,484,740,577,636,405,451,519,571,386,638,623,470,611,695,499,338,331,371,572,344
2022-08-19,594,524,320,696,839,335,632,471,394,480,375,460,509,461,401,294,426,507,301,374
2022-08-20,538,872,581,622,548,441,523,375,821,569,463,558,381,527,274,512,455,389,389,255
2022-08-21,573,798,339,769,590,476,702,514,401,463,483,375,494,575,480,491,502,438,433,436
2022-08-22,580,499,634,490,455,532,549,514,603,611,964,524,549,507,599,425,418,411,532,440
2022-08-23,785,598,424,916,453,427,560,494,612,597,583,328,552,413,508,407,398,392,559,422
2022-08-24,308,634,364,475,531,625,576,502,569,464,659,408,610,459,404,661,421,362,320,477
2022-08-25,823,751,549,683,765,410,589,674,542,638,580,398,615,566,738,505,520,405,376,428
2022-08-26,622,382,457,518,492,589,605,412,804,504,707,539,620,365,649,316,386,380,521,393
2022-08-27,611,702,651,407,532,458,723,391,755,290,642,563,759,525,684,515,356,440,490,477
2022-08-28,592,521,694,640,568,555,603,572,421,524,736,616,634,543,455,612,522,504,472,511
2022-08-29,674,481,468,543,356,506,644,269,531,521,477,397,583,538,480,404,367,408,377,354
2022-08-30,552,404,543,713,527,575,716,394,455,501,779,358,485,443,429,359,448,396,369,286
2022-08-31,574,499,698,571,399,494,623,452,532,473,515,464,588,469,467,393,395,397,264,364
2022-09-01,350,466,325,485,534,410,468,387,675,597,453,484,461,315,690,504,600,481,541,351
2022-09-02,415,796,621,642,370,670,706,458,524,494,351,458,523,597,341,408,444,433,273,438
2022-09-03,586,556,892,394,423,513,554,540,596,531,483,500,615,475,420,366,365,560,336,385
2022-09-04,361,666,455,410,544,514,651,587,483,426,511,568,535,467,403,703,426,499,299,399
2022-09-05,310,451,632,471,524,605,483,269,554,541,572,554,471,398,428,679,381,411,350,350
2022-09-06,545,467,314,443,416,718,409,408,509,669,674,412,341,394,613,476,363,714,354,486
2022-09-07,414,402,481,409,510,347,630,470,469,561,467,348,391,333,411,451,469,421,402,370
2022-09-08,470,342,663,409,438,425,383,416,426,550,575,339,588,481,356,418,324,405,449,545
2022-09-09,298,582,531,539,381,463,530,343,513,433,736,488,851,506,455,357,350,388,475,405
2022-09-10,457,431,410,394,523,446,560,301,432,615,443,361,348,404,514,553,347,323,429,305
2022-09-11,544,463,513,555,476,393,502,377,546,594,344,264,588,704,767,388,512,528,388,367
2022-09-12,524,358,483,550,440,473,433,392,623,496,369,493,468,364,306,457,396,406,265,240
2022-09-13,339,430,480,774,484,411,548,448,313,425,374,436,575,316,294,384,504,622,559,317
2022-09-14,610,446,379,538,352,470,435,500,386,407,476,380,488,424,380,381,471,438,473,387
2022-09-15,489,517,487,472,436,479,498,481,500,444,594,453,594,748,429,598,562,358,519,506
2022-09-16,396,358,503,541,558,456,844,625,661,518,336,396,542,378,353,391,450,438,324,326
2022-09-17,542,512,444,460,700,639,531,495,601,589,509,345,553,566,389,236,436,349,469,379
2022-09-18,634,366,375,374,545,373,858,361,561,457,495,374,465,433,610,336,474,467,375,267
2022-09-19,369,425,421,583,569,470,474,406,487,449,513,335,476,611,365,412,301,495,395,557
2022-09-20,639,435,318,416,315,286,407,418,508,613,394,305,490,472,559,273,473,433,330,377
2022-09-21,568,483,313,460,408,565,530,405,332,390,472,305,436,455,589,276,339,433,537,442
2022-09-22,531,454,450,275,450,385,657,611,290,528,247,423,470,339,588,240,552,310,360,272
2022-09-23,483,465,760,665,416,611,558,362,499,503,367,538,437,506,482,438,669,410,375,403
2022-09-24,635,642,428,567,582,289,547,331,563,492,395,349,592,479,445,334,279,496,448,459
2022-09-25,643,425,499,452,514,529,393,335,434,420,347,336,500,383,426,323,463,421,337,310
2022-09-26,706,769,396,882,510,731,299,415,397,678,400,445,668,694,440,489,406,348,475,431
2022-09-27,441,464,734,396,501,429,480,387,458,570,523,517,666,287,370,394,432,368,329,431
2022-09-28,455,381,211,527,359,347,406,356,289,558,468,521,705,497,426,546,394,455,377,286
2022-09-29,494,509,328,544,525,460,430,400,482,557,425,372,347,386,305,463,434,385,410,420
2022-09-30,366,545,303,394,403,442,584,349,438,432,344,414,716,424,455,301,316,360,383,275
2022-10-01,548,365,565,469,444,332,435,378,320,366,367,465,619,312,212,464,377,435,430,374
2022-10-02,430,507,805,466,387,448,444,518,437,450,607,436,898,471,557,462,463,467,351,377
2022-10-03,606,452,478,368,355,373,550,458,527,477,580,397,388,409,410,640,337,396,358,275
2022-10-04,483,572,387,434,335,460,460,480,581,495,371,282,470,538,455,407,431,460,386,428
2022-10-05,466,442,455,581,388,410,404,333,485,567,359,406,440,424,434,528,411,601,423,381
2022-10-06,405,571,390,475,454,501,488,376,523,571,385,545,608,404,442,429,329,403,365,344
2022-10-07,463,432,585,481,654,640,364,510,470,515,552,362,665,376,654,555,392,360,368,356
2022-10-08,560,617,379,409,401,480,647,636,560,652,420,440,491,492,477,361,416,416,417,380
2022-10-09,589,252,343,633,447,416,606,320,575,472,460,516,514,446,652,275,516,400,360,478
2022-10-10,406,476,390,722,521,517,465,389,593,384,433,394,502,436,466,489,474,465,435,293
2022-10-11,385,556,540,741,448,465,566,422,539,612,545,389,441,552,425,348,413,573,555,385
2022-10-12,583,763,427,472,397,480,510,398,478,514,418,540,455,401,383,569,477,437,606,562
2022-10-13,381,352,570,441,690,618,447,388,509,323,494,441,591,368,376,493,354,309,627,345
2022-10-14,466,616,517,480,378,534,524,483,661,401,518,476,374,407,420,321,312,306,288,406
2022-10-15,488,607,481,703,513,551,342,471,665,467,399,556,568,478,521,438,443,374,652,417
2022-10-16,657,359,338,458,501,452,553,308,408,656,401,597,602,312,507,444,359,386,553,455
2022-10-17,460,358,508,387,341,443,493,395,353,478,325,268,496,403,321,386,368,439,548,353
2022-10-18,453,403,530,517,475,401,766,330,400,244,503,431,529,257,457,486,371,407,545,297
2022-10-19,559,337,437,472,415,534,465,555,329,589,477,388,398,263,411,413,398,397,482,487
2022-10-20,337,287,334,547,406,426,524,320,492,410,380,477,456,322,360,504,318,416,402,286
2022-10-21,559,417,417,439,663,403,314,321,364,571,393,380,541,305,403,558,467,506,342,436
