date,product,actual,naive,seasonal naive,średnia 28 dni,LightGBM
2024-01-04,P0013,287,292.0,214.0,443.92857142857144,291.67260155680844
2024-01-05,P0013,363,292.0,321.0,443.92857142857144,411.48405587106345
2024-01-06,P0013,364,292.0,224.0,443.92857142857144,297.2862590726267
2024-01-07,P0013,363,292.0,317.0,443.92857142857144,366.3004247666801
2024-01-08,P0013,260,292.0,266.0,443.92857142857144,305.00063511061444
2024-01-09,P0013,420,292.0,292.0,443.92857142857144,564.5535364405682
2024-01-10,P0013,547,292.0,336.0,443.92857142857144,580.8698091540019
2024-01-11,P0013,332,292.0,214.0,443.92857142857144,477.2652636114055
2024-01-12,P0013,364,292.0,321.0,443.92857142857144,492.98739493357107
2024-01-13,P0013,392,292.0,224.0,443.92857142857144,507.37958946364296
2024-01-14,P0013,528,292.0,317.0,443.92857142857144,480.6913640197273
2024-01-15,P0013,427,292.0,266.0,443.92857142857144,505.5932309004809
2024-01-16,P0013,612,292.0,292.0,443.92857142857144,564.3425916458633
2024-01-17,P0013,640,292.0,336.0,443.92857142857144,589.3193301812058
2024-01-18,P0013,414,292.0,214.0,443.92857142857144,506.092848760482
2024-01-19,P0013,480,292.0,321.0,443.92857142857144,458.7662742105805
2024-01-20,P0013,784,292.0,224.0,443.92857142857144,545.8912072081177
2024-01-21,P0013,366,292.0,317.0,443.92857142857144,459.96933895139335
2024-01-22,P0013,494,292.0,266.0,443.92857142857144,511.16804638925254
2024-01-23,P0013,483,292.0,292.0,443.92857142857144,584.4039401901522
2024-01-24,P0013,444,292.0,336.0,443.92857142857144,478.9017887904806
2024-01-25,P0013,694,292.0,214.0,443.92857142857144,661.5896682116086
2024-01-26,P0013,367,292.0,321.0,443.92857142857144,495.87738148845705
2024-01-27,P0013,578,292.0,224.0,443.92857142857144,588.1510504329854
2024-01-28,P0013,555,292.0,317.0,443.92857142857144,508.3648153988895
2024-01-29,P0013,395,292.0,266.0,443.92857142857144,481.9693085464964
2024-01-30,P0013,385,292.0,292.0,443.92857142857144,461.8778523043749
2024-01-03,P0004,314,321.0,280.0,484.89285714285717,302.35376960409553
2024-01-04,P0004,143,321.0,397.0,484.89285714285717,317.5118892371306
2024-01-05,P0004,379,321.0,250.0,484.89285714285717,343.4100650370722
2024-01-06,P0004,312,321.0,312.0,484.89285714285717,328.5089677593914
2024-01-07,P0004,415,321.0,285.0,484.89285714285717,323.6643076454392
2024-01-08,P0004,306,321.0,304.0,484.89285714285717,426.05533966542407
2024-01-09,P0004,396,321.0,321.0,484.89285714285717,453.4841342378287
2024-01-10,P0004,473,321.0,280.0,484.89285714285717,468.06266010424287
2024-01-11,P0004,668,321.0,397.0,484.89285714285717,611.6623928678888
2024-01-12,P0004,564,321.0,250.0,484.89285714285717,628.9177728701835
2024-01-13,P0004,479,321.0,312.0,484.89285714285717,512.7684480754326
2024-01-14,P0004,660,321.0,285.0,484.89285714285717,607.150634970199
2024-01-15,P0004,587,321.0,304.0,484.89285714285717,506.4348127338186
2024-01-16,P0004,531,321.0,321.0,484.89285714285717,567.1133808442611
2024-01-17,P0004,493,321.0,280.0,484.89285714285717,471.5037651306901
2024-01-18,P0004,676,321.0,397.0,484.89285714285717,639.6490850148576
2024-01-19,P0004,519,321.0,250.0,484.89285714285717,456.8971674048951
2024-01-20,P0004,706,321.0,312.0,484.89285714285717,690.3634733417767
2024-01-21,P0004,628,321.0,285.0,484.89285714285717,587.9159179740125
2024-01-22,P0004,682,321.0,304.0,484.89285714285717,520.9821980532502
2024-01-23,P0004,433,321.0,321.0,484.89285714285717,469.2337115662607
2024-01-24,P0004,526,321.0,280.0,484.89285714285717,479.94608835117003
2024-01-25,P0004,526,321.0,397.0,484.89285714285717,530.7925937879949
2024-01-26,P0004,561,321.0,250.0,484.89285714285717,638.3207823007721
2024-01-27,P0004,544,321.0,312.0,484.89285714285717,468.20845879530714
2024-01-28,P0004,439,321.0,285.0,484.89285714285717,640.0911466389247
2024-01-29,P0004,443,321.0,304.0,484.89285714285717,478.2846019257494
2024-01-30,P0004,502,321.0,321.0,484.89285714285717,452.1026357085884
